Trial,Ctmax_degC,Agitation_temp_degC,TL_Length_mm,Weight_g,Species,Date,ID_notunique,Source,Acclimation,Notes
4,27.7,22.2,340,287,Lenok_sharpsnout,9/28/2025,,Agats River,12.5,"No respo, acclimated at ambient river temp, acclimation temp 12.5 is the river temp immediately before they started trial"
4,25.5,22.2,497,935,Lenok_sharpsnout,9/28/2025,,Agats River,12.5,"No respo, acclimated at ambient river temp, acclimation temp 12.5 is the river temp immediately before they started trial"
4,25,22.2,414,608,Lenok_sharpsnout,9/28/2025,,Agats River,12.5,"No respo, acclimated at ambient river temp, acclimation temp 12.5 is the river temp immediately before they started trial"
5,24.3,23.6,303,210,Lenok_sharpsnout,9/29/2025,,Agats River,9.2,"No respo, acclimated at ambient river temp, acclimation temp 9.2 is the river temp immediately before they started trial"
5,28.1,25.2,425,556,Lenok_sharpsnout,9/29/2025,,Agats River,9.2,"No respo, acclimated at ambient river temp, acclimation temp 9.2 is the river temp immediately before they started trial"
6,25,22.7,430,620,Taimen,9/30/2025,,Agats River,10.8,"No respo, acclimated at ambient river temp, acclimation temp 10.8 is the river temp immediately before they started trial"
6,26.8,24.1,379,370,Taimen,9/30/2025,,Agats River,10.8,"No respo, acclimated at ambient river temp, acclimation temp 10.8 is the river temp immediately before they started trial"
7,24.9,23.1,490,940,Taimen,9/30/2025,,Agats River,21,"Respo, acclimated at 21 which was the last respo temp"
7,27,25.5,442,760,Taimen,9/30/2025,,Agats River,21,"Respo, acclimated at 21 which was the last respo temp"
8,27.3,25.1,493,995,Taimen,9/30/2025,,Agats River,21,"Respo, acclimated at 21 which was the last respo temp - used larger green plastic tote, a bit cramped for the larger lenok"
8,27.7,26.3,632,1995,Lenok_sharpsnout,9/30/2025,,Agats River,21,"Respo, acclimated at 21 which was the last respo temp - used larger green plastic tote, a bit cramped for the larger lenok"
1,26.8,25,321,245,Lenok_sharpsnout,9/28/2025,5,Agats River,21,"Respo, acclimated at 21 which was the last respo temp"
1,27.1,25,295,166,Lenok_sharpsnout,9/28/2025,6,Agats River,21,"Respo, acclimated at 21 which was the last respo temp"
2,26.6,24.7,293,188,Lenok_sharpsnout,9/28/2025,2,Agats River,21,"Respo, acclimated at 21 which was the last respo temp"
2,27.5,25,390,479,Lenok_sharpsnout,9/28/2025,4,Agats River,21,"Respo, acclimated at 21 which was the last respo temp"
3,27.8,,299,203,Lenok_sharpsnout,9/28/2025,1,Agats River,21,"Respo, acclimated at 21 which was the last respo temp"
3,25.5,23,328,303,Lenok_sharpsnout,9/28/2025,3,Agats River,21,"Respo, acclimated at 21 which was the last respo temp"
9,28.2,23.6,340,279,Lenok_sharpsnout,10/1/2025,,Balg River,9.6,"No respo, acclimated at ambient river temp, acclimation temp 9.6 is the river temp immediately before they started trial"
9,25.5,23.6,420,495,Taimen,10/1/2025,,Balg River,9.6,"No respo, acclimated at ambient river temp, acclimation temp 9.6 is the river temp immediately before they started trial"
10,27.2,26.7,470,900,Taimen,10/1/2025,1,Balg River,21,"Right pectoral clip - Respo, acclimated at 21 which was the last respo temp"
10,27.1,,555,1160,Taimen,10/1/2025,2,Balg River,21,"Right pelvic clip - Respo, acclimated at 21 which was the last respo temp"
10,28.3,,450,720,Taimen,10/1/2025,3,Balg River,21,"Left pelvic clip - Respo, acclimated at 21 which was the last respo temp"
10,24,,625,1725,Taimen,10/1/2025,4,Balg River,21,"Left pectoral clip - Respo, acclimated at 21 which was the last respo temp"
11,30.8,19.3,455,630,Taimen,10/1/2025,,Balg River,10.1,"Died immediately after LOE - No respo, acclimated at ambient river temp, acclimation temp 10.1 is the river temp immediately before they started trial"
